Station (alphabetical by borough),Borough,2015,2016,2017,2018,2019,2020,Change19-20,PercentChange,2020Rank
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,35858,34352,31804,30932,30961,9217,"-21,744",-0.702,47
Canal St (1),M,6275,6116,5996,6410,6830,1866,"-4,965",-0.727,318
"Canal St (A,C,E)",M,20103,19660,19789,20424,21206,6407,"-14,799",-0.698,82
"Canal St (J,N,Q,R,W,Z,6)",M,44409,45030,47601,47034,47629,14626,"-33,003",-0.693,19
Cathedral Pkwy-110 St (1),M,13444,12926,12394,12526,11826,4380,"-7,445",-0.63,141
"Cathedral Pkwy-110 St (B,C)",M,7490,7553,7523,3785,7382,2919,"-4,463",-0.605,224
"Central Park North-110 St (2,3)",M,9865,9855,9233,8815,8470,3257,"-5,214",-0.616,201
"Chambers St (1,2,3)",M,23997,23574,22419,21303,20613,5990,"-14,622",-0.709,90
"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",M,66165,67906,70356,72396,71970,20193,"-51,778",-0.719,12
Christopher St-Sheridan Sq (1),M,9898,9792,9570,9675,10089,3067,"-7,021",-0.696,213
"City Hall (R,W)",M,6310,6766,7731,6657,6050,1874,"-4,176",-0.69,316
"Delancey St (F)/Essex St (J,M,Z)",M,24902,25625,24993,24562,26685,10038,"-16,647",-0.624,42
Dyckman St (1),M,7233,7297,7231,7002,6624,3326,"-3,298",-0.498,192
Dyckman St (A),M,6831,6874,6739,6477,6874,2854,"-4,020",-0.585,227
East Broadway (F),M,14228,14654,14365,13868,13995,5146,"-8,849",-0.632,118
Franklin St (1),M,5825,5984,5809,5943,5370,1676,"-3,694",-0.688,335
"Fulton St (A,C,J,Z,2,3,4,5)",M,74676,85440,91771,92990,94607,29602,"-65,005",-0.687,5
"Grand Central-42 St (S,4,5,6,7)",M,160294,158580,154711,155345,157273,44778,"-112,495",-0.715,2
"Grand St (B,D)",M,24281,24649,24460,23422,24323,8742,"-15,581",-0.641,51
Harlem-148 St (3),M,4096,4017,3899,4074,3707,1528,"-2,179",-0.588,349
Houston St (1),M,15286,15333,15283,15698,15685,4702,"-10,983",-0.7,129
Inwood-207 St (A),M,9317,9350,9217,8793,9615,3796,"-5,819",-0.605,175
"Lexington Av (N,R,W)/59 St (4,5,6)",M,68988,67684,58467,55608,54907,20228,"-34,679",-0.632,11
"Lexington Av-53 St (E,M)/51 St (6)",M,70686,69750,66118,64499,66260,19883,"-46,377",-0.7,14
"Lexington Av-63 St (F,Q)",M,16098,16988,20893,21394,21574,7968,"-13,606",-0.631,59
Marble Hill-225 St (1),M,5732,5636,5473,5433,5075,2401,"-2,674",-0.527,267
"Prince St (R,W)",M,15597,15424,14400,14408,12827,3501,"-9,326",-0.727,180
Rector St (1),M,10625,9788,9453,9005,8471,2311,"-6,160",-0.727,275
"Rector St (R,W)",M,6157,6524,7092,7185,6926,2036,"-4,890",-0.706,302
Roosevelt Island (F),M,6197,6630,7354,7153,7489,2771,"-4,717",-0.63,230
"South Ferry (1)/Whitehall St (R,W)",M,28809,29534,33019,33797,34033,9996,"-24,037",-0.706,43
Spring St (6),M,11543,11390,11019,10822,11230,3317,"-7,913",-0.705,194
"Spring St (C,E)",M,12914,12775,12360,13054,14756,4495,"-10,261",-0.695,137
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",M,206247,202363,203545,204017,205159,64301,"-140,858",-0.687,1
"Wall St (2,3)",M,27242,27291,26022,23968,24618,6950,"-17,667",-0.718,75
"Wall St (4,5)",M,23595,22211,20420,19745,19994,6000,"-13,995",-0.7,89
"West 4 St-Washington Sq (A,B,C,D,E,F,M)",M,42760,42755,41835,40666,41938,13278,"-28,660",-0.683,24
WTC Cortlandt (1),M,0,0,0,3558,13871,3687,"-10,185",-0.734,179
103 St-Corona Plaza (7),Q,20044,20282,20101,19682,19943,10299,"-9,644",-0.484,37
104 St (A),Q,1890,2189,1900,1841,1823,817,"-1,006",-0.552,407
"104 St (J,Z)",Q,2710,2758,1727,1587,2727,1178,"-1,549",-0.568,382
111 St (7),Q,11198,11421,11384,11091,11280,5857,"-5,423",-0.481,92
111 St (A),Q,2727,1947,2571,2596,2620,1152,"-1,468",-0.56,386
111 St (J),Q,2627,2607,3235,2819,1169,968,-201,-0.172,399
"121 St (J,Z)",Q,2462,2500,1135,1354,2341,1005,"-1,336",-0.571,396
169 St (F),Q,9138,9016,8671,8109,8004,3396,"-4,609",-0.576,187
21 St (G),Q,1564,1735,1863,1757,1675,711,-964,-0.576,410
21 St-Queensbridge (F),Q,9447,9779,10209,10840,11184,4372,"-6,812",-0.609,144
"30 Av (N,W)",Q,14771,14739,11381,8286,17906,5579,"-12,327",-0.688,100
33 St-Rawson St (7),Q,13604,13302,12429,11029,10574,3433,"-7,140",-0.675,184
"36 Av (N,W)",Q,7447,7347,5525,5073,6602,2672,"-3,930",-0.595,238
"36 St (M,R)",Q,4733,4776,4786,5177,4725,1619,"-3,106",-0.657,339
"39 Av-Dutch Kills (N,W)",Q,3391,3207,3267,2356,2555,1230,"-1,325",-0.518,379
40 St-Lowery St (7),Q,11053,11089,10624,9954,10028,3960,"-6,069",-0.605,164
"46 St (M,R)",Q,9439,9362,9049,8752,8556,3376,"-5,180",-0.605,189
46 St-Bliss St (7),Q,14413,14335,13614,12828,12702,5521,"-7,181",-0.565,103
52 St (7),Q,6888,6795,6495,6001,6079,2661,"-3,418",-0.562,241
"63 Dr-Rego Park (M,R)",Q,16770,16868,16323,15574,15567,6330,"-9,237",-0.593,86
"65 St (M,R)",Q,3762,3747,3621,3601,3554,1480,"-2,074",-0.583,351
"67 Av (M,R)",Q,9548,9479,9181,8774,8881,3380,"-5,501",-0.619,188
69 St (7),Q,4988,5072,4973,4679,4818,2267,"-2,552",-0.53,281
"74-Broadway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,51925,52296,52018,51766,52159,22913,"-29,246",-0.561,9
"75 Av (E,F)",Q,3756,3710,3365,3455,3549,1308,"-2,241",-0.632,372
"75 St-Elderts Ln (J,Z)",Q,3837,3837,3641,3464,3573,1661,"-1,911",-0.535,337
80 St (A),Q,4445,3574,4416,4316,4274,1801,"-2,473",-0.579,324
82 St-Jackson Hts (7),Q,15711,15765,15393,14626,15056,7028,"-8,028",-0.533,71
85 St-Forest Pkwy (J),Q,3947,3968,3923,3699,3669,1747,"-1,922",-0.524,328
88 St (A),Q,3464,3221,2965,2835,2860,1274,"-1,586",-0.554,376
90 St-Elmhurst Av (7),Q,16814,16957,16848,16253,16365,8217,"-8,148",-0.498,58
Aqueduct Racetrack (A),Q,1711,1739,1672,1901,1594,448,"-1,146",-0.719,417
Aqueduct-North Conduit Av (A),Q,1181,1125,1031,921,893,359,-533,-0.597,418
"Astoria Blvd (N,W)",Q,12344,12358,13103,14425,2410,3324,914,0.379,193
"Astoria-Ditmars Blvd (N,W)",Q,17181,17345,16686,15663,17912,6363,"-11,549",-0.645,85
"Beach 105 St (A,S)",Q,305,289,278,261,243,103,-141,-0.578,424
Beach 25 St (A),Q,1861,1968,1925,1792,1720,832,-888,-0.516,406
Beach 36 St (A),Q,936,975,962,887,951,472,-479,-0.503,416
Beach 44 St (A),Q,624,676,690,693,699,347,-352,-0.503,420
Beach 60 St (A),Q,2501,2507,2319,2013,2008,980,"-1,029",-0.512,397
Beach 67 St-Arverne By The Sea (A),Q,2407,2493,2440,2103,2252,1116,"-1,136",-0.504,389
"Beach 90 St (A,S)",Q,946,939,1110,1097,946,358,-588,-0.622,419
"Beach 98 St (A,S)",Q,608,579,531,481,478,189,-288,-0.604,422
"Briarwood-Van Wyck Blvd (E,F)",Q,4876,5057,5061,4913,4970,2054,"-2,916",-0.587,300
"Broad Channel (A,S)",Q,310,313,302,285,313,121,-192,-0.614,423
"Broadway (N,W)",Q,13236,12957,13242,8473,10195,4530,"-5,665",-0.556,134
"Court Sq (E,G,M,7)",Q,22717,23317,23672,23995,23600,7877,"-15,723",-0.666,61
"Elmhurst Av (M,R)",Q,13588,13508,12967,12463,12362,5460,"-6,901",-0.558,106
Far Rockaway-Mott Av (A),Q,4989,5009,4738,4435,4388,2280,"-2,109",-0.48,279
Flushing-Main St (7),Q,60226,60259,58511,55669,56503,22786,"-33,716",-0.597,10
Forest Av (M),Q,4386,4429,2819,3124,4235,1980,"-2,255",-0.532,307
"Forest Hills-71 Av (E,F,M,R)",Q,28209,28135,27760,26613,26477,10122,"-16,356",-0.618,40
Fresh Pond Rd (M),Q,6002,6130,4223,4716,5882,2753,"-3,128",-0.532,234
"Grand Av-Newtown (M,R)",Q,18955,19373,18754,18489,18531,7715,"-10,816",-0.584,64
Howard Beach-JFK Airport (A),Q,3059,3011,3292,3376,3483,956,"-2,527",-0.725,400
Hunters Point Av (7),Q,6803,7292,7283,7205,7039,2596,"-4,442",-0.631,248
"Jamaica Center-Parsons-Archer (E,J,Z)",Q,42115,41603,39326,36368,34419,14183,"-20,236",-0.588,20
Jamaica-179 St (F),Q,23417,23121,22421,21452,21353,9202,"-12,152",-0.569,48
Jamaica-Van Wyck (E),Q,5092,5022,4972,4717,4561,2663,"-1,899",-0.416,239
Junction Blvd (7),Q,21557,22051,21751,21100,21149,11044,"-10,105",-0.478,32
"Kew Gardens-Union Turnpike (E,F)",Q,27558,27085,26493,25536,25235,10123,"-15,112",-0.599,39
Mets-Willets Point (7),Q,5244,5367,5028,4606,4973,922,"-4,051",-0.815,402
Middle Village-Metropolitan Av (M),Q,4489,4530,3064,3225,3726,1713,"-2,013",-0.54,332
"Northern Blvd (M,R)",Q,7428,7413,7107,6904,6682,2956,"-3,726",-0.558,220
Ozone Park-Lefferts Blvd (A),Q,7732,8023,7722,7591,7434,3397,"-4,037",-0.543,186
Parsons Blvd (F),Q,6640,6644,6593,6462,6654,3498,"-3,156",-0.474,181
"Queens Plaza (E,M,R)",Q,10475,10652,11369,12747,14298,4709,"-9,589",-0.671,127
