Station,Borough,2019
"Beach 105 St (A,S)",Q,243
"Broad Channel (A,S)",Q,313
"Beach 98 St (A,S)",Q,478
"Rockaway Park-Beach 116 St (A,S)",Q,660
"Beach 44 St (A)",Q,699
