Station,Borough,2019
"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",M,205159
"Grand Central-42 St (S,4,5,6,7)",M,157273
"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",M,125498
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",M,101832
"Fulton St (A,C,J,Z,2,3,4,5)",M,94607
